queries
Побег из Шоушенка 
Зеленая миля 
Форрест Гамп 
Как избавиться от трупа (1997)
Список Шиндлера 
1+1 
Начало 
Леон 
Король Лев 
Бойцовский клуб 
Иван Васильевич меняет профессию 
Жизнь прекрасна 
Достучаться до небес 
Крестный отец 
Криминальное чтиво 
Операция «Ы» и другие приключения Шурика 
Престиж 
Игры разума 
Интерстеллар 
Властелин колец: Возвращение Короля 
Гладиатор 
Назад в будущее 
Карты, деньги, два ствола 
Матрица 
Бриллиантовая рука 
Отступники 
Поймай меня, если сможешь 
Пианист 
Властелин колец: Братство кольца 
В бой идут одни «старики» 
ВАЛЛ·И 
Большой куш 
Тайна Коко 
Властелин колец: Две крепости 
Американская история&nbsp;X 
Джентльмены удачи 
Пираты Карибского моря: Проклятие Черной жемчужины 
Остров проклятых 
Пролетая над гнездом кукушки 
Темный рыцарь 
Титаник 
12 разгневанных мужчин 
Запах женщины 
Джентльмены 
Пробуждение 
В джазе только девушки 
Хатико: Самый верный друг 
Унесённые призраками 
Огни большого города 
Кавказская пленница, или Новые приключения Шурика 
...А зори здесь тихие 
Хороший, плохой, злой 
Эта замечательная жизнь 
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей 
Хористы 
Семь 
Молчание ягнят 
Шоу Трумана 
Как приручить дракона 
Терминатор 2: Судный день 
Джанго освобожденный 
Крестный отец&nbsp;2 
Клаус 
Собачье сердце 
Нокдаун 
Игра 
Храброе сердце 
Шерлок Холмс и доктор Ватсон: Знакомство 
Москва слезам не верит 
Гран Торино 
Одержимость 
Человек дождя 
Прислуга 
Изгой 
Летят журавли 
Зверополис 
Шестое чувство 
Офицеры 
Спасти рядового Райана 
Малыш 
В погоне за счастьем 
Белый Бим Черное ухо 
Эффект бабочки 
Судьба человека 
Красавица и чудовище 
Назад в будущее&nbsp;2 
Дневник памяти 
Укрощение строптивого 
Однажды в Америке 
Римские каникулы 
Унесенные ветром 
Балто 
Служебный роман 
Темный рыцарь: Возрождение легенды 
Жизнь других 
Счастливое число Слевина 
Адвокат дьявола 
Амадей 
…А в душе я танцую 
Шерлок Холмс и доктор Ватсон: Смертельная схватка 
Зеленая книга 
Они сражались за Родину 
Ходячий замок 
Гонка 
Брат 
Баллада о солдате Как грамотно избавиться от тела? 
Малышка на миллион 
Хоббит: Нежданное путешествие 
Девчата 
Свидетель обвинения 
Шерлок Холмс и доктор Ватсон: Кровавая надпись 
Мальчик в полосатой пижаме 
Общество мертвых поэтов 
Пятый элемент 
Одиннадцать друзей Оушена 
Казино 
День сурка 
Один дома 
Артист 
Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра 
Аладдин 
Добро пожаловать, или Посторонним вход воспрещен 
Могила светлячков 
Новые времена 
Невидимая сторона 
Город Бога 
Как украсть миллион 
Любовь и голуби 
Семь жизней 
Шерлок Холмс и доктор Ватсон: Король шантажа 
Легенда о пианисте 
Меня зовут Кхан 
Афера 
Привидение 
Танцующий с волками 
12 стульев 
Рэй 
Жизнь Дэвида Гейла 
Шерлок Холмс и доктор Ватсон: Сокровища Агры 
Самый быстрый Indian 
Терминал 
Назад в будущее 3 
Умница Уилл Хантинг 
Славные парни 
Пираты Карибского моря: Сундук мертвеца 
Лицо со шрамом 
На несколько долларов больше 
Ледниковый период 
Король говорит! 
Головоломка 
Блеф 
Ромео и Джульетта 
Перед классом 
Планета Ка-Пэкс 
Золотой теленок 
Шерлок Холмс 
Амели 
В случае убийства набирайте "М" 
Семь самураев 
Нюрнбергский процесс 
Бешеные псы 
Заплати другому 
Корпорация монстров 
Вечное сияние чистого разума 
Вам и не снилось... 
Ганди 
Три билборда на границе Эббинга, Миссури 
Воин 
Апокалипсис сегодня 
Тот самый Мюнхгаузен 
Отец солдата 
Белый плен 
Звёздные войны: Эпизод 3 – Месть Ситхов 
Андрей Рублев 
Джокер 
Тренер Картер 
Красота по-американски 
Человек-слон 
Писатели свободы 
Мой сосед Тоторо 
Твоё имя 
Исчезнувшая 
Индиана Джонс и последний крестовый поход 
Военный ныряльщик 
Схватка 
Октябрьское небо 
Принцесса Мононоке 
Знахарь 
Звёздные войны: Эпизод 6 – Возвращение Джедая 
Ип Ман 
Психо 
Шрэк 
Звёздочки на земле 
Новый кинотеатр &laquo;Парадизо&raquo; 
Иллюзионист 
Последний самурай 
Легенда №17 
Ирония судьбы, или С легким паром! 
Берегись автомобиля 
Гарри Поттер и узник Азкабана 
Трасса 60 
Брат 2 
Цирк 
Жестокий романс 
Тэмпл Грандин 
Загадочная история Бенджамина Баттона 
Хоббит: Пустошь Смауга 
Пока не сыграл в ящик 
Ford против Ferrari 
Хулиганы 
Гарри Поттер и философский камень 
Я – Сэм 
Дурак 
Подмена 
Апокалипсис 
Гарри Поттер и Дары Смерти: Часть II 
Рататуй 
Ураган 
Медведь 
Три идиота 
Песнь моря 
Крепкий орешек 
Убить пересмешника 
Золотая лихорадка 
Крупная рыба 
Аватар 
Столкновение 
Завтра была война 
Знакомьтесь, Джо Блэк 
Звёздные войны: Эпизод 5 – Империя наносит ответный удар 
Рапунцель: Запутанная история 
Вверх 
Билли Эллиот 
Старший сын 
Мулан 
Жизнь Пи 
Поющие под дождем 
Аты-баты, шли солдаты... 
Русалочка 
Реквием по мечте 
Гаттака 
Мужики!.. 
Догвилль 
Леди и бродяга 
История игрушек: Большой побег 
Крамер против Крамера 
Мандарины 
Пираты Карибского моря: На краю Света 
Холодное лето пятьдесят третьего... 
Иди и смотри 
Профессионал 
